,bus,element,closed,from_ppci,to_ppci
743,3209,900,True,3209,900
744,1354,1647,True,1354,1647
745,796,1763,False,796,1763
746,1690,737,False,1690,737
747,2150,2797,True,2150,2797
748,45,3036,True,45,3036
749,484,220,True,484,220
750,2684,2872,True,2684,2872
751,251,2614,True,251,2614
752,688,2962,True,688,2962
753,2543,2667,True,2543,2667
754,717,3467,True,717,3467
755,1484,1990,False,1484,1990
756,1403,574,False,1403,574
757,1140,506,True,1140,506
758,2337,1864,False,2337,1864
759,2439,1921,True,2439,1921
760,3678,2307,True,3678,2307
761,2928,2324,True,2928,2324
762,1286,3730,False,1286,3730
763,1609,1413,True,1609,1413
764,748,1444,True,748,1444
765,2291,838,True,2291,838
766,771,1938,False,771,1938
767,1230,2555,True,1230,2555
768,1522,3299,True,1522,3299
769,61,88,True,61,88
770,1777,537,True,1777,537
771,3142,2889,False,3142,2889
772,1749,2127,True,1749,2127
773,1103,1167,True,1103,1167
774,1815,3452,False,1815,3452
775,771,1401,True,771,1401
776,3021,3306,True,3021,3306
777,826,1463,False,826,1463
778,283,1512,False,283,1512
779,1892,3347,False,1892,3347
780,70,2062,True,70,2062
781,117,446,True,117,446
782,3535,3179,True,3535,3179
783,3193,3664,True,3193,3664
784,187,32,True,187,32
785,3197,554,False,3197,554
786,662,1007,False,662,1007
787,962,1567,True,962,1567
788,1645,2843,True,1645,2843
789,2786,2385,True,2786,2385
790,364,943,True,364,943
791,304,2634,False,304,2634
792,2529,642,True,2529,642
793,456,2846,False,456,2846
794,532,3672,True,532,3672
795,3058,18,True,3058,18
796,3334,307,True,3334,307
797,3691,2083,False,3691,2083
798,171,185,True,171,185
799,1129,1154,True,1129,1154
800,2142,1860,False,2142,1860
801,1893,1387,False,1893,1387
802,722,1319,False,722,1319
803,2047,2015,False,2047,2015
804,1432,675,True,1432,675
805,3155,2405,True,3155,2405
806,1515,123,True,1515,123
807,3197,1972,True,3197,1972
808,1291,2339,False,1291,2339
809,1133,1496,True,1133,1496
810,1956,633,False,1956,633
811,3698,3189,True,3698,3189
812,1927,3254,False,1927,3254
813,1732,3526,False,1732,3526
814,2932,2600,True,2932,2600
815,560,1482,True,560,1482
816,2484,403,False,2484,403
817,263,3116,True,263,3116
818,2927,3234,True,2927,3234
819,1219,2124,False,1219,2124
820,98,3570,True,98,3570
821,1838,184,True,1838,184
822,808,3354,True,808,3354
823,573,2075,True,573,2075
824,3371,1972,True,3371,1972
825,3615,3328,True,3615,3328
826,2945,2091,False,2945,2091
827,2450,1757,True,2450,1757
828,1809,2159,True,1809,2159
829,630,1644,False,630,1644
830,2700,1586,True,2700,1586
831,55,3733,True,55,3733
832,1923,970,True,1923,970
833,1775,2715,True,1775,2715
834,1063,1086,True,1063,1086
835,337,267,True,337,267
836,621,1492,True,621,1492
837,385,2478,True,385,2478
838,1078,351,True,1078,351
839,2662,635,True,2662,635
840,3757,648,False,3757,648
841,2364,1421,True,2364,1421
842,2433,3388,False,2433,3388
843,2444,2961,True,2444,2961
844,1329,915,True,1329,915
845,1272,205,True,1272,205
846,449,1295,False,449,1295
847,362,1967,False,362,1967
848,1747,1939,True,1747,1939
849,3182,636,False,3182,636
850,2059,1801,True,2059,1801
851,520,2996,True,520,2996
852,869,3355,True,869,3355
853,2,789,False,2,789
854,2382,1634,False,2382,1634
855,2914,3254,False,2914,3254
856,3445,2516,True,3445,2516
857,2579,2806,True,2579,2806
858,2642,3064,True,2642,3064
859,1260,1651,True,1260,1651
860,2356,3066,True,2356,3066
861,558,3368,False,558,3368
862,776,542,False,776,542
863,1599,2059,True,1599,2059
864,869,550,True,869,550
865,370,3749,False,370,3749
866,3620,857,True,3620,857
867,2947,3186,True,2947,3186
868,1848,236,True,1848,236
869,2003,1285,True,2003,1285
870,2945,157,True,2945,157
871,1100,3002,False,1100,3002
872,882,1691,False,882,1691
873,1172,3462,True,1172,3462
874,1545,3751,True,1545,3751
875,2514,787,True,2514,787
876,313,3636,False,313,3636
877,3418,634,False,3418,634
878,322,728,True,322,728
879,1981,1769,True,1981,1769
880,2377,3381,True,2377,3381
881,1593,850,True,1593,850
882,2641,1267,True,2641,1267
883,293,2654,True,293,2654
884,2301,406,True,2301,406
885,3325,1773,False,3325,1773
886,2353,557,True,2353,557
887,2957,3323,True,2957,3323
888,1615,3773,True,1615,3773
889,1661,3338,True,1661,3338
890,1121,439,True,1121,439
891,1991,904,True,1991,904
892,2426,1051,True,2426,1051
893,1115,1335,True,1115,1335
894,2544,2490,True,2544,2490
895,3429,1972,True,3429,1972
896,3739,2558,True,3739,2558
897,3364,79,True,3364,79
898,1845,3370,True,1845,3370
899,1805,1794,False,1805,1794
900,2479,1922,True,2479,1922
901,2302,1704,True,2302,1704
902,3156,100,True,3156,100
903,1423,2589,True,1423,2589
904,2737,1779,True,2737,1779
905,1036,3321,False,1036,3321
906,2009,3377,True,2009,3377
907,2745,734,False,2745,734
908,1203,100,True,1203,100
909,2493,2117,True,2493,2117
910,491,1214,False,491,1214
911,1777,1559,True,1777,1559
912,1077,3669,True,1077,3669
913,1987,3263,True,1987,3263
914,760,2494,True,760,2494
915,468,1090,True,468,1090
916,149,1589,True,149,1589
917,1878,2201,True,1878,2201
918,1012,2499,True,1012,2499
919,1428,2017,True,1428,2017
920,2506,1214,False,2506,1214
921,3667,1913,True,3667,1913
922,1931,2191,True,1931,2191
923,1293,2663,True,1293,2663
924,1008,426,True,1008,426
925,3761,192,False,3761,192
926,2608,585,True,2608,585
927,3199,1167,True,3199,1167
928,3566,3205,True,3566,3205
929,2716,481,True,2716,481
930,842,3024,False,842,3024
931,3051,1255,True,3051,1255
932,452,3509,True,452,3509
933,1065,1846,False,1065,1846
934,2854,2535,True,2854,2535
935,2551,1216,True,2551,1216
936,1002,694,True,1002,694
937,3223,3686,True,3223,3686
938,337,1134,True,337,1134
939,2309,3486,True,2309,3486
940,251,210,False,251,210
941,2431,3450,True,2431,3450
942,2906,2573,True,2906,2573
943,3527,338,True,3527,338
944,1121,1566,True,1121,1566
945,867,3765,False,867,3765
946,2211,1601,True,2211,1601
947,546,3531,False,546,3531
948,1406,805,True,1406,805
949,2924,1011,True,2924,1011
950,1291,522,False,1291,522
951,2916,2289,True,2916,2289
952,3464,864,True,3464,864
953,2777,3558,True,2777,3558
