pp_idx,ppci_idx,name,vn_kv
3289,70,CNN_19U_E_5494_1,110.0
623,70,CNN_19U_E_5494_6,110.0
2266,70,CNN_19U_E_5494_11,110.0
1538,70,CNN_19U_E_5494_12,110.0
384,70,CNN_19U_E_5494_3,110.0
254,70,CNN_19U_E_5494_8,110.0
1563,71,CNN_62101.180/10 W6B blau_E_2646,110.0
996,71,CNN_62101.180/10 W6B blau_E_2646,110.0
386,71,CNN_62101.180/10 W6B blau_E_2646,110.0
387,72,CNN_332K_E_4053_2,110.0
989,73,CNN_0503201540000289486407_E_917,110.0
388,73,CNN_0503201540000289486407_E_917,110.0
2887,73,CNN_0503201540000289486407_E_917,110.0
391,74,CNN_268O_E_26138_1,110.0
2518,74,CNN_268O_E_26138_4,110.0
1135,74,CNN_268O_E_26138_2,110.0
3149,75,CNN_1011072053110343234749_E_197,110.0
613,75,CNN_1011072053110343234749_E_197,110.0
1050,75,CNN_1011072053110343234749_E_197,110.0
393,75,CNN_1011072053110343234749_E_197,110.0
470,76,CNN_253Q_J_26130_1,6.0
91,76,CNN_253Q_J_26130_4,6.0
2192,76,CNN_253Q_J_26130_6,6.0
394,76,CNN_253Q_J_26130_8,6.0
3374,76,CNN_253Q_J_26130_2,6.0
1001,76,CNN_253Q_J_26130_7,6.0
1820,76,CNN_253Q_J_26130_5,6.0
396,77,CNN_0504220831140043061238_E_222,110.0
503,77,CNN_0504220831140043061238_E_222,110.0
44,77,CNN_0504220831140043061238_E_222,110.0
991,78,CNN_625_H_19826_2,30.0
397,78,CNN_625_H_19826_1,30.0
409,79,CNN_0504131449550158397228_E_290,110.0
3731,79,CNN_0504131449550158397228_E_290,110.0
534,79,CNN_0504131449550158397228_E_290,110.0
416,80,CNN_1005091124510388900827_E_296,110.0
1120,80,CNN_1005091124510388900827_E_296,110.0
1932,80,CNN_1005091124510388900827_E_296,110.0
1268,81,CNN_57R_E_11929_12,110.0
2493,81,CNN_57R_E_11929_19,110.0
2354,81,CNN_57R_E_11929_13,110.0
1876,81,CNN_57R_E_11929_14,110.0
1631,81,CNN_57R_E_11929_1,110.0
2996,81,CNN_57R_E_11929_8,110.0
1258,81,CNN_57R_E_11929_17,110.0
2681,81,CNN_57R_E_11929_11,110.0
520,81,CNN_57R_E_11929_20,110.0
3695,81,CNN_57R_E_11929_5,110.0
1105,81,CNN_57R_E_11929_9,110.0
3660,81,CNN_57R_E_11929_4,110.0
3142,81,CNN_57R_E_11929_18,110.0
421,81,CNN_57R_E_11929_2,110.0
2582,81,CNN_57R_E_11929_6,110.0
2117,81,CNN_57R_E_11929_21,110.0
1621,81,CNN_57R_E_11929_3,110.0
2521,81,CNN_57R_E_11929_10,110.0
649,82,CNN_0504171015500013196403_E_275,110.0
432,82,CNN_0504171015500013196403_E_275,110.0
966,82,CNN_0504171015500013196403_E_275,110.0
1897,82,CNN_0504171015500013196403_E_275,110.0
658,83,CNN_0504200739130260985784_E_551,110.0
433,83,CNN_0504200739130260985784_E_551,110.0
1797,83,CNN_0504200739130260985784_E_551,110.0
2704,84,CNN_144G_J_140_57,20.0
2207,84,CNN_144G_J_140_11,20.0
2729,84,CNN_144G_J_140_48,20.0
435,84,CNN_144G_J_140_73,20.0
437,85,CNN_630C2_J_29032_22,10.0
380,85,CNN_630C2_J_29032_8,10.0
2340,85,CNN_630C2_J_29032_1,10.0
527,86,CNN_171D_E_22260_12,110.0
1660,86,CNN_171D_E_22260_8,110.0
504,86,CNN_171D_E_22260_3,110.0
3110,86,CNN_171D_E_22260_1,110.0
1432,86,CNN_171D_E_22260_13,110.0
2886,86,CNN_171D_E_22260_4,110.0
675,86,CNN_171D_E_22260_6,110.0
1429,86,CNN_171D_E_22260_10,110.0
2019,86,CNN_171D_E_22260_9,110.0
448,86,CNN_171D_E_22260_11,110.0
459,87,CNN_613U_H_18542_1,30.0
1533,88,CNN_0710281702020793538252_E_551,110.0
2788,88,CNN_0710281702020793538252_E_551,110.0
469,88,CNN_0710281702020793538252_E_551,110.0
3227,89,CNN_402D_E_16302_11,110.0
3701,89,CNN_402D_E_16302_9,110.0
1661,89,CNN_402D_E_16302_3,110.0
2184,89,CNN_402D_E_16302_12,110.0
611,89,CNN_402D_E_16302_7,110.0
3476,89,CNN_402D_E_16302_5,110.0
3338,89,CNN_402D_E_16302_4,110.0
480,89,CNN_402D_E_16302_2,110.0
3010,89,CNN_402D_E_16302_8,110.0
3275,89,CNN_402D_E_16302_6,110.0
164,90,CNN_630C2_E_29031_2,110.0
52,90,CNN_630C2_E_29031_15,110.0
2320,90,CNN_630C2_E_29031_4,110.0
2716,90,CNN_630C2_E_29031_12,110.0
2119,90,CNN_630C2_E_29031_14,110.0
442,90,CNN_630C2_E_29031_5,110.0
139,90,CNN_630C2_E_29031_11,110.0
2136,90,CNN_630C2_E_29031_6,110.0
3603,90,CNN_630C2_E_29031_16,110.0
1854,90,CNN_630C2_E_29031_1,110.0
481,90,CNN_630C2_E_29031_17,110.0
2164,90,CNN_630C2_E_29031_10,110.0
1085,90,CNN_630C2_E_29031_13,110.0
2995,90,CNN_630C2_E_29031_20,110.0
834,90,CNN_630C2_E_29031_8,110.0
3256,90,CNN_630C2_E_29031_7,110.0
2834,91,CNN_542Q2_E_26141_2,110.0
3357,91,CNN_542Q2_E_26141_1,110.0
488,91,CNN_542Q2_E_26141_4,110.0
489,92,CNN_1005090927160046654720_E_203,110.0
631,92,CNN_1005090927160046654720_E_203,110.0
356,92,CNN_1005090927160046654720_E_203,110.0
497,93,CNN_113F_J_21810_14,3.0
2824,93,CNN_113F_J_21810_6,3.0
3135,93,CNN_113F_J_21810_1,3.0
498,94,CNN_589U1_J_5434_88,20.0
1845,94,CNN_589U1_J_5434_14,20.0
2099,94,CNN_589U1_J_5434_57,20.0
3370,94,CNN_589U1_J_5434_69,20.0
430,95,CNN_0504211825170010820143_E_293,110.0
499,95,CNN_0504211825170010820143_E_293,110.0
1237,95,CNN_0504211825170010820143_E_293,110.0
479,96,CNN_0503251419100382752457_E_104,110.0
505,96,CNN_0503251419100382752457_E_104,110.0
1827,96,CNN_0503251419100382752457_E_104,110.0
2935,97,CNN_4543.126 Füssen West g_D_198,220.0
513,97,CNN_4543.126 Füssen West g_D_198,220.0
150,97,CNN_4543.126 Füssen West g_D_198,220.0
515,98,CNN_1502222036410050473800_E_335,110.0
1141,98,CNN_1502222036410050473800_E_335,110.0
1759,98,CNN_1502222036410050473800_E_335,110.0
2362,99,CNN_48U_J_5538_11,20.0
518,99,CNN_48U_J_5538_48,20.0
152,100,CNN_729_E_28454_11,110.0
844,100,CNN_729_E_28454_12,110.0
43,100,CNN_729_E_28454_8,110.0
597,100,CNN_729_E_28454_14,110.0
3688,100,CNN_729_E_28454_17,110.0
2156,100,CNN_729_E_28454_21,110.0
528,100,CNN_729_E_28454_3,110.0
519,100,CNN_729_E_28454_1,110.0
95,100,CNN_729_E_28454_22,110.0
1148,100,CNN_729_E_28454_9,110.0
119,100,CNN_729_E_28454_6,110.0
3596,101,CNN_12U1_J_6017_11,20.0
524,101,CNN_12U1_J_6017_43,20.0
712,102,CNN_413U1_J_12844_13,20.0
540,102,CNN_413U1_J_12844_66,20.0
3087,103,CNN_245B_J_26150_1,6.0
1930,103,CNN_245B_J_26150_5,6.0
3524,103,CNN_245B_J_26150_6,6.0
1853,103,CNN_245B_J_26150_4,6.0
656,103,CNN_245B_J_26150_7,6.0
541,103,CNN_245B_J_26150_8,6.0
1702,103,CNN_245B_J_26150_2,6.0
2111,104,CNN_122U_E_5493_7,110.0
2544,104,CNN_122U_E_5493_31,110.0
3762,104,CNN_122U_E_5493_38,110.0
546,104,CNN_122U_E_5493_4,110.0
853,104,CNN_122U_E_5493_11,110.0
3440,104,CNN_122U_E_5493_28,110.0
1911,104,CNN_122U_E_5493_14,110.0
2490,104,CNN_122U_E_5493_42,110.0
549,105,CNN_0504131306000002525026_E_203,110.0
1430,105,CNN_0504131306000002525026_E_203,110.0
1989,105,CNN_0504131306000002525026_E_203,110.0
553,106,CNN_1212040832310082146207_E_331,110.0
2837,106,CNN_1212040832310082146207_E_331,110.0
3122,106,CNN_1212040832310082146207_E_331,110.0
603,106,CNN_1212040832310082146207_E_331,110.0
555,107,CNN_F12R_H_18531_1,30.0
235,107,CNN_F12R_H_18531_2,30.0
2609,108,CNN_1003031520210300445722_E_128,110.0
560,108,CNN_1003031520210300445722_E_128,110.0
3642,108,CNN_1003031520210300445722_E_128,110.0
1482,108,CNN_1003031520210300445722_E_128,110.0
561,109,CNN_0610021927230030764328_E_147,110.0
2380,109,CNN_0610021927230030764328_E_147,110.0
627,109,CNN_0610021927230030764328_E_147,110.0
2183,110,CNN_0504171756300217043052_E_284,110.0
583,110,CNN_0504171756300217043052_E_284,110.0
2585,111,CNN_F5S_E_5502_5,110.0
584,111,CNN_F5S_E_5502_1,110.0
676,112,CNN_651_E_11939_1,110.0
2755,112,CNN_651_E_11939_3,110.0
592,112,CNN_651_E_11939_2,110.0
2228,113,CNN_1011072053110363558000_E_276,110.0
595,113,CNN_1011072053110363558000_E_276,110.0
2918,113,CNN_1011072053110363558000_E_276,110.0
644,114,CNN_118_E_22257_16,110.0
1789,114,CNN_118_E_22257_3,110.0
3158,114,CNN_118_E_22257_14,110.0
1104,114,CNN_118_E_22257_12,110.0
874,114,CNN_118_E_22257_13,110.0
1302,114,CNN_118_E_22257_4,110.0
2669,114,CNN_118_E_22257_9,110.0
2602,114,CNN_118_E_22257_7,110.0
986,114,CNN_118_E_22257_15,110.0
2263,114,CNN_118_E_22257_10,110.0
610,114,CNN_118_E_22257_1,110.0
332,114,CNN_118_E_22257_11,110.0
1479,114,CNN_118_E_22257_6,110.0
616,115,CNN_0503251758590585656664_E_103,110.0
153,115,CNN_0503251758590585656664_E_103,110.0
1882,115,CNN_0503251758590585656664_E_103,110.0
632,116,CNN_0503251625340236945056_E_103,110.0
3724,116,CNN_0503251625340236945056_E_103,110.0
3601,116,CNN_0503251625340236945056_E_103,110.0
3699,117,CNN_F613S_E_21798_17,110.0
637,117,CNN_F613S_E_21798_19,110.0
3330,117,CNN_F613S_E_21798_7,110.0
650,118,CNN_A328S_E_31062_1,110.0
651,119,CNN_0504251009110459929712_E_185,110.0
657,120,CNN_19U_J_6561_42,20.0
3174,120,CNN_19U_J_6561_8,20.0
666,121,CNN_0504131543590176245800_E_290,110.0
3351,121,CNN_0504131543590176245800_E_290,110.0
1715,121,CNN_0504131543590176245800_E_290,110.0
1229,122,CNN_66001.11 O6/2 grün_E_19733_1,110.0
673,122,CNN_66001.11 O6/2 grün_E_19733_2,110.0
1833,122,CNN_66001.11 O6/2 grün_E_19733_3,110.0
674,123,CNN_0504140857120295674880_E_284,110.0
1574,123,CNN_0504140857120295674880_E_284,110.0
2095,123,CNN_0504140857120295674880_E_284,110.0
1297,124,CNN_F613S_E_21798_8,110.0
679,124,CNN_F613S_E_21798_18,110.0
3717,124,CNN_F613S_E_21798_1,110.0
3484,125,CNN_625W_E_10378_3,110.0
2615,125,CNN_625W_E_10378_5,110.0
1717,125,CNN_625W_E_10378_7,110.0
684,125,CNN_625W_E_10378_8,110.0
2133,125,CNN_625W_E_10378_6,110.0
174,126,CNN_1005090929420237276510_E_203,110.0
691,126,CNN_1005090929420237276510_E_203,110.0
3679,126,CNN_1005090929420237276510_E_203,110.0
118,127,CNN_0505061617000169191010_E_193,110.0
155,127,CNN_0505061617000169191010_E_193,110.0
697,127,CNN_0505061617000169191010_E_193,110.0
702,128,CNN_A630D6__29039_22,10.0
